id,name,type,nationality,birth,career,startage,position
Cleveland Stokers,Cleveland,2,USA,,,99,
Club Cerro Porteno,Club Cerro,2,Paraguay,,,99,
Club Jorge Wilstermann,Wilstermann,2,Bolivien,,,99,
Club nueve de Octubre,Club Octubre,2,Ecuador,,,99,
Club Sol de America,Club Sol,2,Paraguay,,,99,
Clube Atletico Lencoense,Lencoense,2,Brasilien,,,99,
Como Calcio,Calcio,2,Italien,,,99,
Corinthians Sao Paulo,Corinthians,2,Brasilien,,,99,
Cork Celtic,Cork,2,Irland,,,99,
CR Vasco da Gama,Vasco da Gama,2,Brasilien,,,99,
Cruzeiro Belo Horizonte,Cruzeiro,2,Brasilien,,,99,
CSD Colo Colo,Colo,2,Chile,,,99,
DC United,United,2,USA,,,99,
Dynamo Moskau,Dynamo,2,Russland,,,99,
Eastern AA,Eastern,2,Hongkong,,,99,
EC Noroeste,Noroeste,2,Brasilien,,,99,
Espanol Barcelona,Espanol,2,Spanien,,,99,
FC Arsenal,Arsenal,2,England,,,99,
FC Barcelona,Barca,2,Spanien,,,99,
FC Bayern Munchen,FCB,2,Deutschland,,,99,
FC Blackpool,Blackpool,2,England,,,99,
FC Bologna,Bologna,2,Italien,,,99,
FC Chelsea,Chelsea,2,England,,,99,
FC Chesterfield,Chesterfield,2,England,,,99,
FC Constanta,Constanta,2,Rumanien,,,99,
FC Distillery,Distillery,2,England,,,99,
FC Elche,Elche,2,Spanien,,,99,
FC Everton,Everton,2,England,,,99,
FC Fulham,Fulham,2,England,,,99,
FC Goa,Goa,2,Indien,,,99,
FC Herzogenaurach,Herzogenaurach,2,Deutschland,,,99,
FC Liverpool,Liverpool,2,England,,,99,
FC Lokomotive Leipzig,Lok Leipzig,2,Deutschland,,,99,
FC Martigues,Martigues,2,Frankreich,,,99,
FC Port Vale,Vale,2,England,,,99,
FC Santos,Santos,2,Brasilien,,,99,
FC Sao Paulo,Sao Paulo FC,2,Brasilien,,,99,
FC Sevilla,Sevilla,2,Spanien,,,99,
FC Toulouse,Toulouse,2,Frankreich,,,99,
FC Valencia,Valencia,2,Spanien,,,99,
FC Varese,Varese,2,Italien,,,99,
FC Viitorul Constanta,Viitorul Constanta,2,Rumanien,,,99,
FC Waterford,Waterford,2,Irland,,,99,
FC Wrexham,Wrexham,2,Wales,,,99,
FCU Politehnica Timisoara,Politehnica Timisoara,2,Rumanien,,,99,
Fenerbahce Istanbul,Fenerbahce,2,Turkei,,,99,
Feyenoord Rotterdam,Feyenoord,2,Niederlande,,,99,
FK Partizan Belgrad,Partizan,2,Serbien,,,99,
Flamengo Rio de Janeiro,Flamengo,2,Brasilien,,,99,
Fluminense Rio de Janeiro,Fluminense,2,Brasilien,,,99,
Fort Lauderdale Strikers,Lauderdale,2,USA,,,99,
Fortaleza EC,Fortaleza,2,Brasilien,,,99,
Galatasaray Istanbul,Galatasaray,2,Turkei,,,99,
German American Soccer Club,GASC,2,USA,,,99,
Girondins Bordeaux,Bordeaux,2,Frankreich,,,99,
Gladsaxe Hero,Gladsaxe,2,Danemark,,,99,
Hamburger SV,HSV,2,Deutschland,,,99,
Hamilton Steelers,Hamilton St,2,Kanada,,,99,
Hebros Harmanli,Harmanli,2,Bulgarien,,,99,
Hellas Verona,Verona,2,Italien,,,99,
Hellenic FC,Hellenic,2,Sudafrika,,,99,
Hercules Alicante,Alicante,2,Spanien,,,99,
Hereford United,Hereford Utd,2,England,,,99,
Herning Fremad,Herning,2,Danemark,,,99,
Hertha BSC,Hertha,2,Deutschland,,,99,
HFC Harleem,Harleem,2,Niederlande,,,99,
Hibernian Edinburgh,Edinburgh,2,Schottland,,,99,
Hibernians Paola,Hibernians,2,Malta,,,99,
HSC Montpellier,Montpellier,2,Frankreich,,,99,
Hvidovre IF,Hvidovre,2,Danemark,,,99,
Inter Mailand,Inter,2,Italien,,,99,
Invincible Eleven,Eleven,2,Liberia,,,99,
Juventus Turin,Juve,2,Italien,,,99,
Kashima Antlers,Kashima,2,Japan,,,99,
Kashiwa Reysol,Reysol,2,Japan,,,99,
LA Galaxy,Galaxy,2,USA,,,99,
Las Vegas Quicksilvers,Quicksilvers,2,USA,,,99,
Lazio Rom,Lazio,2,Italien,,,99,
Leeds United,LeedsUtd,2,England,,,99,
Leicester City,Leicester,2,England,,,99,
Litex Lowetsch,Lowetsch,2,Bulgarien,,,99,
Los Angeles Aztecs,LA,2,USA,,,99,
LR Vicenza,Vicenza,2,Italien,,,99,
Maccabi Netanja,Netanja,2,Israel,,,99,
Madureira FC,Madureira,2,Brasilien,,,99,
Mamelodi Sundowns,Mamelodi,2,Republik Suedafrika,,,99,
Manchester City,Man City,2,England,,,99,
Manchester United,ManUtd,2,England,,,99,
Merthyr Tydfil FC,Merthyr,2,Wales,,,99,
Miami FC,Miami,2,USA,,,99,
Mighty Barolle,Barolle,2,Liberia,,,99,
Nagoya Grampus Eight,Nagoya,2,Japan,,,99,
National Fast Clube,Fast,2,Brasilien,,,99,
New Jersey Americans,New Jersey,2,USA,,,99,
New York Cosmos,NYC,2,USA,,,99,
New York Red Bulls,NY Red Bulls,2,USA,,,99,
Newcastle United,Newcastle,2,England,,,99,
Newells Old Boys,Newells,2,Argentinien,,,99,
OGC Nizza,Nizza,2,Frankreich,,,99,
Olaria AC,Olaria,2,Brasilien,,,99,
Olympiakos Piraus,Olympiakos,2,Griechenland,,,99,
Olympique Marseille,Marseille,2,Frankreich,,,99,
Olympique Nimes,Nimes,2,Frankreich,,,99,
Orange County Blue Star,Blue Star,2,USA,,,99,
Oxford City,Oxford,2,England,,,99,
Panathinaikos Athen,Athen,2,Griechenland,,,99,
Paris Saint Germain,PSG,2,Frankreich,,,99,
Perugia Calcio,Perugia,2,Italien,,,99,
Preston North End,Preston,2,England,,,99,
Pro Patria Calcio,Pro Patria,2,Italien,,,99,
PSV Eindhoven,Eindhoven,2,Niederlande,,,99,
Rayo Vallecano,Vallecano,2,Spanien,,,99,
Real Madrid,Real,2,Spanien,,,99,
Real Murcia,Murcia,2,Spanien,,,99,
River Plate,River,2,Argentinien,,,99,
Sampdoria Genua,Sampdoria,2,Italien,,,99,
San Antonio Thunder,San Antonio,2,USA,,,99,
San Jose Earthquakes,Earthquakes,2,USA,,,99,
SC Beira Mar,Beira Mar,2,Portugal,,,99,
SC Heerenveen,Heerenveen,2,Niederlande,,,99,
SC Lourenco Marques,Marques,2,Mosambik,,,99,
Seattle Sounders,Sounders,2,USA,,,99,
Servette Genf,Genf,2,Schweiz,,,99,
Sheffield United,Sheffield,2,England,,,99,
Shimizu S Pulse,Shimizu,2,Japan,,,99,
SK Rapid Wien,Rapid Wien,2,Osterreich,,,99,
Smith Brothers Lounge,Smith,2,USA,,,99,
South Melbourne Hellas,Hellas,2,Australien,,,99,
Southend United,Southend,2,England,,,99,
Sporting Cristal,Cristal,2,Peru,,,99,
Sporting Lissabon,Lissabon,2,Portugal,,,99,
Sportul Studentesc,Sportul,2,Rumanien,,,99,
SSC Neapel,SSC,2,Italien,,,99,
St Patricks Athletic,St Patricks,2,Irland,,,99,
Stade Reims,Reims,2,Frankreich,,,99,
Steaua Bukarest,Steaua,2,Rumanien,,,99,
Stockport County,Stockport,2,England,,,99,
Stoke City,Stoke,2,England,,,99,
Stuttgarter Kickers,Kickers,2,Deutschland,,,99,
Swansea City,Swansea,2,Wales,,,99,
Sydney Olympic,Sydney OL,2,Australien,,,99,
Telford United,Telford,2,England,,,99,
Terek Grosny,Grosny,2,Russland,,,99,
Tobermore United,Tobermore,2,Nordirland,,,99,
Tonnerre Yaounde,Yaounde,2,Kamerun,,,99,
Torontos Metros Croatia,Torontos,2,Kanada,,,99,
Tottenham Hotspur,Spurs,2,England,,,99,
TSV Nordlingen,Nordlingen,2,Deutschland,,,99,
UD Levante,Levante,2,Spanien,,,99,
Udinese Calcio,Udinese,2,Italien,,,99,
UFCI Tomar,Tomar,2,Portugal,,,99,
USM Casablanca,Casablanca,2,Marokko,,,99,
Valiente Koriyama Tokyo,Koriyama,2,Japan,,,99,
Vancouver Royals,Royals,2,Kanada,,,99,
VfB Stuttgart,VfB,2,Deutschland,,,99,
Washington Diplomats,Washington,2,USA,,,99,
West Ham United,West Ham,2,England,,,99,
Wigan Athletic,Wigan,2,England,,,99,
ZSKA Moskau,ZSKA,2,Russland,,,99,
ZSKA Sofia,Sofia,2,Bulgarien,,,99,
Argentinien,ARG,3,,,,99,
Brasilien,BRA,3,,,,99,
Bulgarien,BUL,3,,,,99,
Danemark,DEN,3,,,,99,
Deutschland,GER,3,,,,99,
England,ENG,3,,,,99,
Frankreich,FRA,3,,,,99,
Gabun,GAB,3,,,,99,
Irak,IRQ,3,,,,99,
Italien,IT,3,,,,99,
Japan,JP,3,,,,99,
Kolumbien,KUB,3,,,,99,
Kuwait,KU,3,,,,99,
Liberia,LIB,3,,,,99,
Marokko,MAR,3,,,,99,
Niederlande,NL,3,,,,99,
Nordirland,NI,3,,,,99,
Peru,PER,3,,,,99,
Portugal,PO,3,,,,99,
Rumanien,ROU,3,,,,99,
Russland,RUS,3,,,,99,
Saudi Arabien,SA,3,,,,99,
Schottland,SCO,3,,,,99,
Spanien,S,3,,,,99,
Ungarn,U,3,,,,99,
USA,USA,3,,,,99,
Wales,WAL,3,,,,99,
